experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,s_trials,laura_simulations,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
S_vs_Laura_alternating_50,S_vs_Laura_game_031,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,31,2057,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,8,16.98975760000758,0.9148953749972861,3.6595814999891445,4
S_vs_Laura_alternating_50,S_vs_Laura_game_031,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,31,2057,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,8,16.98975760000758,3.3324885000183713,13.329954000073485,4
S_vs_Laura_alternating_50,S_vs_Laura_game_032,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,32,2058,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,29,29.003278699994553,1.5065834933309816,22.598752399964724,15
S_vs_Laura_alternating_50,S_vs_Laura_game_032,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,32,2058,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,29,29.003278699994553,0.4573534285757757,6.40294800006086,14
S_vs_Laura_alternating_50,S_vs_Laura_game_033,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,33,2059,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,28,34.79033009998966,0.5870349285749918,8.218489000049885,14
S_vs_Laura_alternating_50,S_vs_Laura_game_033,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,33,2059,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,28,34.79033009998966,1.8978948285636892,26.570527599891648,14
S_vs_Laura_alternating_50,S_vs_Laura_game_034,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,34,2060,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,7,12.2531482000486,2.549704524994013,10.198818099976052,4
S_vs_Laura_alternating_50,S_vs_Laura_game_034,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,34,2060,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,7,12.2531482000486,0.6846775333591116,2.054032600077335,3
S_vs_Laura_alternating_50,S_vs_Laura_game_035,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,35,2061,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,8,15.915393200004473,0.9012378000334138,3.604951200133655,4
S_vs_Laura_alternating_50,S_vs_Laura_game_035,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,35,2061,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,8,15.915393200004473,3.0775436499825446,12.310174599930178,4
